iter	RMSE
0	78057.2249
1	75479.18264
2	73107.50588
3	70805.91897
4	68641.06533
5	66550.62061
6	64461.48387
7	62448.94409
8	60532.21644
9	58780.41784
10	57219.32765
11	55622.13153
12	54199.8893
13	52772.99196
14	51418.70943
15	50130.06477
16	48836.02741
17	47551.89971
18	46395.88406
19	45249.70074
20	44186.67444
21	43183.90871
22	42224.81439
23	41263.5799
24	40323.28257
25	39474.16547
26	38727.39661
27	37946.87651
28	37175.41709
29	36453.37436
30	35766.86167
31	35144.79408
32	34508.54629
33	33916.3635
34	33397.2855
35	32887.22261
36	32344.08886
37	31877.37837
38	31426.89259
39	30954.68007
40	30513.14847
41	30123.05907
42	29728.77186
43	29378.4581
44	29029.56242
45	28689.67329
46	28335.58913
47	28008.33108
48	27716.4662
49	27430.52944
50	27131.10458
51	26884.20757
52	26655.86677
53	26408.2117
54	26201.69581
55	25980.38722
56	25751.78341
57	25544.94294
58	25384.22568
59	25223.66215
60	25063.76674
61	24905.88116
62	24745.30287
63	24571.30938
64	24424.42728
65	24272.3086
66	24114.81681
67	23970.97743
68	23837.79929
69	23673.82373
70	23531.64431
71	23469.946
72	23369.26214
73	23223.93943
74	23121.99031
75	23003.5175
76	22891.65537
77	22742.25832
78	22622.21998
79	22517.18772
80	22402.51575
81	22271.23658
82	22155.31894
83	22053.78708
84	21956.82259
85	21884.65869
86	21778.14477
87	21690.04017
88	21615.92879
89	21536.91799
90	21441.07385
91	21341.7924
92	21283.11424
93	21218.85409
94	21135.05353
95	21080.80499
96	20991.85386
97	20935.78903
98	20846.2031
99	20800.21119
100	20748.66894
101	20681.76256
102	20619.60289
103	20525.72408
104	20472.31896
105	20413.0629
106	20353.09846
107	20282.5189
108	20232.73658
109	20189.93373
110	20150.60089
111	20077.14638
112	20038.39183
113	19965.76215
114	19912.32628
115	19859.86478
116	19817.91175
117	19767.87585
118	19712.84184
119	19671.51267
120	19633.72
121	19590.36271
122	19523.77805
123	19489.43308
124	19426.54902
125	19376.55797
126	19343.21789
127	19305.11901
128	19263.65353
129	19219.82479
130	19177.23104
131	19135.83628
132	19113.14823
133	19067.28529
134	19039.89901
135	18993.85877
136	18947.0185
137	18880.16841
138	18837.07545
139	18808.85971
140	18781.86055
141	18755.71435
142	18708.25478
143	18676.86768
144	18626.08514
145	18577.38999
146	18544.06677
147	18513.49796
148	18492.78384
149	18461.78307
150	18434.72947
151	18393.60914
152	18369.1957
153	18325.26206
154	18294.56114
155	18256.93
156	18232.54025
157	18192.40932
158	18146.94345
159	18102.66742
160	18058.35948
161	18014.74822
162	17979.23029
163	17941.03746
164	17914.47678
165	17881.62954
166	17860.28251
167	17831.87335
168	17807.90023
169	17783.86806
170	17757.61827
171	17738.16223
172	17720.07751
173	17683.6297
174	17666.5455
175	17627.18616
176	17608.44453
177	17570.31807
178	17548.90349
179	17525.10159
180	17489.30483
181	17460.92768
182	17422.15995
183	17392.96148
184	17363.75371
185	17348.53382
186	17324.83401
187	17291.04593
188	17237.9407
189	17221.93008
190	17203.4913
191	17188.68714
192	17160.83748
193	17132.47119
194	17123.95277
195	17087.5628
196	17050.44362
197	17021.69789
198	16981.9394
199	16958.78309
200	16927.84716
201	16906.27562
202	16884.34111
203	16863.41414
204	16834.94623
205	16790.23074
206	16769.13118
207	16724.07814
208	16694.70051
209	16663.88957
210	16636.23689
211	16609.94761
212	16587.84751
213	16570.56357
214	16552.07624
215	16517.60172
216	16473.94182
217	16440.4047
218	16414.44992
219	16375.44404
220	16337.46399
221	16318.9804
222	16307.00903
223	16291.81678
224	16257.11629
225	16219.55385
226	16174.161
227	16148.3534
228	16130.47238
229	16091.5279
230	16075.41492
231	16046.50026
232	16017.54736
233	15986.2923
234	15953.49202
235	15938.42848
236	15898.9717
237	15883.55759
238	15850.95342
239	15826.22199
240	15782.87551
241	15745.69792
242	15705.34863
243	15682.84671
244	15642.4745
245	15617.5262
246	15586.43022
247	15573.4261
248	15550.36097
249	15508.59354
250	15476.46315
251	15456.17036
252	15428.21062
253	15409.46832
254	15390.44121
255	15360.86518
256	15327.89059
257	15320.86837
258	15302.25619
259	15276.41608
260	15242.03409
261	15226.4891
262	15210.33734
263	15181.05699
264	15144.92058
265	15112.73798
266	15074.91361
267	15065.71588
268	15053.3495
269	15026.81632
270	14989.88808
271	14950.78309
272	14925.90458
273	14904.01139
274	14864.27704
275	14846.45185
276	14831.40247
277	14802.46865
278	14775.7982
279	14743.40785
280	14717.66594
281	14695.91287
282	14672.6026
283	14654.22681
