iter	Passed	Remaining
0	3	2203
1	5	1997
2	8	1924
3	10	1867
4	13	1820
5	15	1803
6	18	1867
7	21	1851
8	23	1830
9	26	1807
10	28	1792
11	31	1777
12	33	1786
13	36	1780
14	38	1766
15	41	1761
16	43	1755
17	46	1749
18	49	1756
19	51	1758
20	54	1747
21	56	1751
22	59	1743
23	61	1737
24	65	1755
25	67	1748
26	69	1741
27	72	1741
28	75	1745
29	80	1793
30	89	1927
31	99	2070
32	111	2256
33	114	2248
34	118	2245
35	120	2230
36	124	2223
37	126	2210
38	130	2209
39	133	2197
40	136	2187
41	139	2185
42	142	2178
43	145	2169
44	148	2164
45	152	2170
46	155	2157
47	157	2143
48	159	2123
49	161	2103
50	164	2087
51	166	2069
52	168	2052
53	170	2035
54	172	2021
55	174	2003
56	176	1988
57	178	1973
58	180	1958
59	182	1947
60	184	1931
61	186	1919
62	188	1906
63	190	1893
64	192	1881
65	194	1869
66	196	1857
67	199	1852
68	201	1840
69	203	1830
70	205	1820
71	206	1800
72	208	1790
73	210	1782
74	212	1774
75	214	1764
76	217	1756
77	219	1747
78	221	1738
79	223	1729
80	225	1721
81	227	1712
82	229	1705
83	231	1698
84	233	1690
85	235	1681
86	237	1673
87	239	1666
88	241	1659
89	243	1653
90	245	1645
91	247	1638
92	249	1631
93	252	1629
94	254	1623
95	256	1616
96	259	1611
97	261	1606
98	263	1600
99	265	1593
100	267	1587
101	269	1581
102	271	1575
103	274	1570
104	276	1564
105	278	1558
106	280	1552
107	282	1546
108	284	1541
109	286	1535
110	288	1532
111	292	1534
112	294	1530
113	296	1525
114	299	1521
115	301	1515
116	303	1514
117	306	1512
118	309	1510
119	311	1507
120	314	1502
121	316	1497
122	318	1493
123	320	1488
124	322	1483
125	324	1478
126	326	1473
127	328	1468
128	330	1463
129	332	1458
130	336	1460
131	338	1458
132	341	1453
133	343	1449
134	345	1444
135	347	1439
136	349	1435
137	351	1430
138	353	1426
139	355	1421
140	357	1416
141	359	1412
142	361	1408
143	363	1403
144	365	1399
145	367	1395
146	369	1390
147	371	1386
148	373	1382
149	375	1377
150	377	1373
151	380	1370
152	381	1365
153	383	1360
154	385	1356
155	387	1352
156	389	1348
157	391	1343
158	394	1341
159	396	1338
160	398	1334
161	400	1330
162	402	1326
163	404	1322
164	406	1317
165	409	1315
166	411	1313
167	413	1310
168	415	1307
169	418	1303
170	420	1299
171	422	1295
172	425	1295
173	427	1292
174	429	1288
175	431	1285
176	433	1281
177	435	1277
178	437	1273
179	439	1271
180	442	1267
181	443	1263
182	446	1260
183	447	1256
184	449	1252
185	451	1248
186	453	1245
187	455	1241
188	457	1237
189	459	1234
190	461	1230
191	463	1227
192	465	1223
193	467	1220
194	470	1219
195	472	1216
196	475	1212
197	477	1209
198	479	1206
199	481	1202
200	483	1199
201	485	1196
202	487	1193
203	489	1189
204	491	1186
205	493	1183
206	495	1179
207	497	1176
208	499	1173
209	501	1169
210	503	1165
211	505	1162
212	507	1159
213	509	1156
214	511	1152
215	513	1150
216	515	1147
217	517	1143
218	519	1140
219	521	1137
220	523	1134
221	525	1130
222	527	1127
223	529	1125
224	531	1121
225	533	1119
226	535	1116
227	537	1113
228	539	1110
229	541	1107
230	544	1105
231	546	1102
232	548	1099
233	550	1096
234	552	1093
235	554	1090
236	556	1087
237	558	1084
238	560	1081
239	562	1079
240	565	1076
241	568	1075
242	570	1072
243	572	1069
244	574	1067
245	577	1064
246	579	1062
247	581	1059
248	583	1056
249	585	1053
250	587	1050
251	589	1047
252	591	1044
